"1,845774333-3,thorburgh0,Armada,$561201.23,102569,Nissan,Blue,2005,Santa Rosa,,Brazil,Female,Real,jcb,YV1672MW1B2204808"
"2,134459661-4,gbotterell1,Camry,$324836.88,140597,Toyota,Puce,1993,San Diego,California,United States,Male,Dollar,jcb,1G4GE5G39CF846041"
"3,654035232-8,ewarren2,57,$772876.84,35260,Maybach,Teal,2003,Jacobina,,Brazil,Male,Real,maestro,WAUKD98PX6A784867"
"4,220458289-1,fsimpkins3,Sentra,$476864.63,125912,Nissan,Pink,2011,Winter Haven,Florida,United States,Female,Dollar,jcb,WAUGFBFC2DN257371"
"5,022044145-6,ddacth4,MPV,$337005.38,42876,Mazda,Teal,2005,I?owo -Osada,,Poland,Female,Zloty,jcb,3GYFNAEY8AS634211"
"6,602282787-6,efletcher5,Celica,$884250.75,79662,Toyota,Violet,1983,Mogi Guaçu,,Brazil,Female,Real,diners-club-enroute,WBA3N5C50EK170404"
"7,494511238-X,lsimonel6,Th!nk,$846301.92,2783,Ford,Goldenrod,2001,Spytkowice,,Poland,Male,Zloty,switch,2G4WD562551535708"
"8,020504292-9,lmarcone7,Galant,$484928.05,54162,Mitsubishi,Teal,1985,Bia?o?liwie,,Poland,Female,Zloty,visa,1FTWX3A51AE624862"
"9,690226351-5,mdrescher8,Ranger,$360407.12,57881,Ford,Khaki,2008,Boulogne-Billancourt,Île-de-France,France,Male,Euro,diners-club-carte-blanche,1FTSW3A53AE801302"
"10,923255710-X,mblackledge9,Mustang,$383463.88,52719,Ford,Pink,2006,Hagfors,Värmland,Sweden,Female,Krona,jcb,WAULT68E45A672892"
"11,537056358-6,jtreecea,Windstar,$933584.38,83043,Ford,Aquamarine,1996,Orlando,Florida,United States,Male,Dollar,jcb,WBA3V5C57F5829546"
"12,602639430-3,lbaudib,XC70,$351004.57,22224,Volvo,Mauv,2010,Passo Fundo,,Brazil,Female,Real,visa,1FMJU1J50AE751346"
"13,567310366-2,efalconarc,Charger,$63583.96,124567,Dodge,Yellow,1970,Buffalo,New York,United States,Male,Dollar,jcb,YV4952CT1E1989628"
"14,395585592-9,kwittmand,Ranger,$418137.82,16928,Ford,Violet,2007,Ricardo Flores Magon,Veracruz Llave,Mexico,Female,Peso,jcb,JN1CV6EK7DM625184"
"15,043842914-1,csantoroe,S10 Blazer,$488462.10,76652,Chevrolet,Turquoise,1993,Herby,,Poland,Male,Zloty,jcb,1GD311CG9FF994710"
"16,901179162-2,kgrinstedf,Cooper,$836510.24,83032,MINI,Violet,2003,Mirecourt,Lorraine,France,Female,Euro,jcb,1FMJK1J58AE419211"
"17,790334682-2,wmaccookg,GL-Class,$556482.50,89589,Mercedes-Benz,Pink,2011,Vacaria,,Brazil,Male,Real,diners-club-enroute,WBAPM7C52AA572912"
"18,447320996-2,dpeaddieh,Land Cruiser,$595940.58,46178,Toyota,Violet,1992,Los Mangos,Veracruz Llave,Mexico,Female,Peso,diners-club-us-ca,3FAHP0DC5BR089060"
"19,494216236-X,gpiborni,4Runner,$735689.00,100126,Toyota,Puce,2010,Villa Carlos Paz,,Argentina,Male,Peso,mastercard,1G6AF5SX1D0545157"
"20,803489146-0,lswansburyj,F150,$738077.80,100956,Ford,Orange,2008,Barão de Melgaço,,Brazil,Female,Real,instapayment,1G6DM8EV9A0572505"
"21,399226825-X,psheldonk,RS6,$968981.62,29340,Audi,Turquoise,2003,Portelândia,,Brazil,Male,Real,americanexpress,1N6AD0CW0FN743288"
"22,158695682-5,atampenl,Monte Carlo,$674587.84,133125,Chevrolet,Orange,1995,Cuiabá,,Brazil,Female,Real,visa-electron,2FMGK5DC8AB278731"
"23,443799221-0,gchiswellm,Aspire,$956734.95,40502,Ford,Yellow,1996,Chalon-sur-Saône,Bourgogne,France,Female,Euro,jcb,2HNYD18635H106624"
"24,545246924-9,wleasn,850,$633098.00,7272,Volvo,Maroon,1993,Blois,Centre,France,Male,Euro,mastercard,WVWED7AJ1BW475697"
"25,169891137-8,lbaumeo,Continental,$745931.53,97710,Lincoln,Maroon,1996,Embu Guaçu,,Brazil,Male,Real,china-unionpay,2G4WF551111448367"
"26,148318612-1,cmantrippp,1 Series,$33020.16,122774,BMW,Puce,2012,Yonkers,New York,United States,Female,Dollar,jcb,JTDJTUD37ED216211"
"27,465178587-5,shuguevilleq,8 Series,$93484.09,34487,BMW,Teal,1994,Comandante Luis Piedra Buena,,Argentina,Male,Peso,visa-electron,5YMGY0C54BL872611"
"28,314505057-5,blunar,Stylus,$631947.08,26948,Isuzu,Purple,1992,Cuiabá,,Brazil,Female,Real,diners-club-enroute,WAUHFBFL1BN710784"
"29,627491812-4,jdrings,XK Series,$163286.31,142845,Jaguar,Crimson,2000,Porto Feliz,,Brazil,Male,Real,switch,1GT010CG8CF492042"
"30,287750451-4,hwoodfinet,Continental Super,$669181.74,125024,Bentley,Teal,2010,Guaranésia,,Brazil,Female,Real,maestro,WA1EV94L18D267565"
"31,352501001-X,smoffetu,Firebird,$346959.31,129455,Pontiac,Indigo,2000,Krotoszyn,,Poland,Female,Zloty,visa-electron,5GADV23L55D813310"
"32,422031343-5,vswynfenv,Shadow,$265976.18,67338,Dodge,Blue,1993,Birmingham,Alabama,United States,Female,Dollar,jcb,JN1AY1AP4BM497048"
"33,921613752-5,rbricknerw,4Runner,$386216.94,93585,Toyota,Fuscia,2005,Gardanne,Provence-Alpes-Côte d'Azur,France,Female,Euro,jcb,1G6DC8EY3B0203721"
"34,187714615-3,blornsenx,Continental GTC,$82520.89,84590,Bentley,Yellow,2012,Andradina,,Brazil,Male,Real,jcb,KMHDB8AEXBU786210"
"35,243836218-9,caveny,Defender,$18927.80,23670,Land Rover,Purple,1993,Paris 13,Île-de-France,France,Female,Euro,jcb,4A4AP3AU3EE714887"
"36,086048237-5,lsimkovitzz,GTO,$630380.94,59425,Mitsubishi,Yellow,1997,Strasbourg,Alsace,France,Male,Euro,jcb,5GTMNGEEXA8402684"
"37,829809480-8,cdenslow10,C30,$82418.45,354,Volvo,Maroon,2013,Sobienie Jeziory,,Poland,Male,Zloty,maestro,WBSKG9C53DE046732"
"38,761524033-6,apullan11,Outlander,$814626.53,46133,Mitsubishi,Green,2010,Iturama,,Brazil,Female,Real,china-unionpay,1VWAH7A36CC946893"
"39,471106716-7,mpartener12,Pilot,$573125.31,10781,Honda,Goldenrod,2011,Pires do Rio,,Brazil,Female,Real,visa-electron,WAUJT64B03N756507"
"40,091773904-3,cissacoff13,Mirage,$484015.53,145497,Mitsubishi,Pink,1986,Eskilstuna,Södermanland,Sweden,Male,Krona,instapayment,2T1BURHE3FC220023"
"41,343563942-3,abradneck14,TrailBlazer,$34480.36,77851,Chevrolet,Goldenrod,2007,Dobczyce,,Poland,Female,Zloty,bankcard,WBALL5C59DJ486541"
"42,946215965-3,kdunsire15,Relay,$863899.57,54092,Saturn,Khaki,2007,Solna,Stockholm,Sweden,Male,Krona,bankcard,JTDKN3DP7F3428853"
"43,752660099-X,xblewett16,Sebring,$412600.34,51536,Chrysler,Puce,2000,Göteborg,Västra Götaland,Sweden,Male,Krona,jcb,SAJWA4EC2EM694502"
"44,396414508-4,wphelip17,4Runner,$746191.92,1288,Toyota,Yellow,2007,Augustów,,Poland,Male,Zloty,diners-club-carte-blanche,TRUTX28N921758183"
"45,981347625-7,khayhow18,H3,$725295.75,14184,Hummer,Puce,2010,Presidencia Roque Sáenz Peña,,Argentina,Female,Peso,jcb,WBA3B5C54DJ580362"
"46,831723052-X,jbergeau19,Alcyone SVX,$138819.77,120069,Subaru,Violet,1996,Reims,Champagne-Ardenne,France,Male,Euro,jcb,KMHFG4JG7FA510739"
"47,442475615-7,aruncieman1a,F250,$481465.93,137804,Ford,Indigo,2006,Katy,Texas,United States,Female,Dollar,mastercard,19UUB2F76FA571251"
"48,239737336-X,asaxby1b,S40,$131581.89,7892,Volvo,Turquoise,2004,Long Beach,California,United States,Male,Dollar,jcb,1FTEW1CM6EF092788"
"49,957262173-4,tmarquand1c,Regal,$32912.54,17034,Buick,Turquoise,2003,Buriti Bravo,,Brazil,Male,Real,jcb,JM1NC2JF6D0397537"
"50,411363445-9,tdillicate1d,Grand Prix,$439438.77,127812,Pontiac,Pink,1982,?ani?ta,,Poland,Male,Zloty,mastercard,5GALVBED3AJ107837"
"51,682346974-9,ejayme1e,Lynx,$954524.33,7139,Mercury,Puce,1986,Sundsvall,Västernorrland,Sweden,Female,Krona,maestro,1N4AL2AP7AC494687"
"52,689630716-1,hwrefford1f,XK,$818835.27,142653,Jaguar,Teal,2008,Seattle,Washington,United States,Male,Dollar,maestro,1HGCP2E31AA244583"
"53,615654006-7,ewooder1g,Odyssey,$665055.27,146359,Honda,Red,2001,Jaguariaíva,,Brazil,Female,Real,jcb,WBA6A0C52FD946338"
"54,226266423-4,lstroband1h,Silhouette,$469908.90,48297,Oldsmobile,Khaki,2002,Dorotea,Västerbotten,Sweden,Female,Krona,mastercard,WAU4FAFL0BA179724"
"55,128259595-4,zcranna1i,STS,$980199.59,148346,Cadillac,Violet,2011,Nynäshamn,Stockholm,Sweden,Male,Krona,jcb,WDDEJ7GB3AA919799"
"56,620114738-1,kwash1j,QX,$702923.18,141348,Infiniti,Red,1999,Maubeuge,Nord-Pas-de-Calais,France,Male,Euro,jcb,WAUDF98E07A154326"
"57,618301754-X,fdumingo1k,Yukon XL 2500,$341527.49,103386,GMC,Orange,2008,Merlo,,Argentina,Male,Peso,laser,WVWDB7AJ7EW681273"
"58,343697653-9,dducham1l,Fox,$943127.94,92648,Volkswagen,Turquoise,1992,Solna,Stockholm,Sweden,Male,Krona,jcb,1GYS4DEF1DR923469"
"59,118092866-0,cnorthedge1m,Truck,$247736.94,90457,Mitsubishi,Violet,1994,Stockholm,Stockholm,Sweden,Male,Krona,diners-club-enroute,1G6DN57U160987261"
"60,376247560-1,egunson1n,F350,$695622.78,138797,Ford,Purple,2002,San Antonio,Texas,United States,Male,Dollar,bankcard,19UUA65675A282431"
"61,329687181-0,mputt1o,Eldorado,$328615.18,67119,Cadillac,Orange,1994,Cataguases,,Brazil,Female,Real,china-unionpay,SAJWA1CB0BL234376"
"62,025141870-7,dpaal1p,Sportage,$252304.40,94776,Kia,Crimson,2009,Siemkowice,,Poland,Female,Zloty,switch,WDDEJ7GB7DA393021"
"63,634497050-2,haugust1q,Land Cruiser,$692232.83,114751,Toyota,Violet,1992,Nied?wiada,,Poland,Male,Zloty,jcb,2G4WC582861846373"
"64,222192056-2,krope1r,Cougar,$688952.45,119608,Mercury,Orange,1984,Bia?aczów,,Poland,Male,Zloty,maestro,3GYFK66N04G952616"
"65,841724464-6,fleal1s,GranTurismo,$453767.00,146530,Maserati,Red,2010,Södertälje,Stockholm,Sweden,Male,Krona,jcb,WBAUC9C52DV364186"
"66,732016517-1,gdumphries1t,Impreza,$445996.79,84322,Subaru,Green,2010,Itapecerica,,Brazil,Female,Real,visa,4T1BF3EK4AU986304"
"67,525897337-9,edunge1u,LaCrosse,$734637.22,89536,Buick,Teal,2005,Stari Grad,,Serbia,Male,Dinar,switch,KMHEC4A49DA697010"
"68,143519636-8,dgwyther1v,RL,$406443.59,8760,Acura,Puce,2011,Bologna,Emilia-Romagna,Italy,Female,Euro,jcb,2FMDK4AC7AB621577"
"69,479114320-5,cfaherty1w,Explorer Sport Trac,$206067.49,115793,Ford,Maroon,2007,Mainque,,Argentina,Female,Peso,bankcard,SCFBB04B37G297248"
"70,622144936-7,cwillatt1x,Lynx,$503214.28,104590,Mercury,Indigo,1985,Montpellier,Languedoc-Roussillon,France,Male,Euro,instapayment,JM3TB2CV9F0780655"
"71,640888152-1,rhanny1y,GranSport,$129591.78,127170,Maserati,Crimson,2005,Svrljig,,Serbia,Male,Dinar,americanexpress,1G6ET12992B402821"
"72,599451965-0,ghannaby1z,Accord,$176190.29,32266,Honda,Red,1990,Posse,,Brazil,Female,Real,jcb,3D7TT2CT8AG937817"
"73,109541963-3,aballeine20,X3,$613618.91,70061,BMW,Indigo,2008,Nak?o nad Noteci?,,Poland,Female,Zloty,jcb,YV1672MK9B2827378"
"74,958775722-X,fharwin21,Regal,$716265.37,31497,Buick,Fuscia,2012,Washington,District of Columbia,United States,Male,Dollar,jcb,5UXFG43519L968719"
"75,578395282-6,omcgilvary22,Forester,$166290.47,6963,Subaru,Puce,2005,Bollnäs,Gävleborg,Sweden,Male,Krona,jcb,WBAUC9C52BV009760"
"76,046274650-X,smacewan23,S4,$846784.42,74878,Audi,Goldenrod,2007,Saint-Laurent-du-Var,Provence-Alpes-Côte d'Azur,France,Female,Euro,laser,1FMJK1F57CE364570"
"77,879097146-9,rserrier24,Spyder,$935189.07,62117,Maserati,Orange,1991,Campo Verde,,Brazil,Female,Real,bankcard,2T1BPRHE1FC614479"
"78,418264503-0,vhens25,Escape,$697440.06,129756,Ford,Green,2010,Saint-Quentin-en-Yvelines,Île-de-France,France,Female,Euro,jcb,1FMCU0F79FU912075"
"79,274488876-1,gmullin26,Rio,$363139.42,71177,Kia,Mauv,2012,Söderköping,Östergötland,Sweden,Female,Krona,jcb,YV1902FH7D2090784"
"80,561357650-5,jedmund27,Land Cruiser,$710514.07,64621,Toyota,Teal,1992,Täby,Stockholm,Sweden,Male,Krona,bankcard,1D7RW3BK8AS227891"
"81,284278981-4,ddeesly28,Mountaineer,$209299.60,118190,Mercury,Yellow,2003,Ludvika,Dalarna,Sweden,Male,Krona,jcb,1GYS3HKJ4FR640134"
"82,465171049-2,vstuehmeier29,Grand Prix,$771738.57,143102,Pontiac,Teal,1985,Bordeaux,Aquitaine,France,Female,Euro,visa-electron,4A31K3DT9AE689901"
"83,941388216-9,ngantz2a,Century,$705794.77,123928,Buick,Purple,1999,Grenoble,Rhône-Alpes,France,Male,Euro,jcb,WBAKA4C57CD745097"
"84,058953372-X,cjanton2b,Grand Prix,$509066.67,119946,Pontiac,Orange,1993,Gosty?,,Poland,Female,Zloty,diners-club-carte-blanche,KNADH4A38B6574059"
"85,459310213-8,rstoffler2c,Solara,$629260.67,62504,Toyota,Yellow,2000,Jatobá,,Brazil,Male,Real,visa-electron,WBSBR93445P645663"
"86,022976954-3,atejero2d,Regal,$105119.93,85000,Buick,Mauv,1990,Presidente Prudente,,Brazil,Male,Real,visa-electron,WAUEG98E46A511264"
"87,051000995-6,apoter2e,A4,$29511.98,127837,Audi,Red,2009,Araras,,Brazil,Male,Real,jcb,3GYVKMEF4AG201914"
"88,362529862-7,agilmore2f,J,$84001.35,66719,Infiniti,Aquamarine,1995,Ljungskile,Västra Götaland,Sweden,Female,Krona,jcb,WAU2GBFC1DN708930"
"89,339127169-8,mpool2g,Landaulet,$454246.66,1330,Maybach,Turquoise,2010,Hofors,Gävleborg,Sweden,Female,Krona,jcb,1D7RB1CT1AS329217"
"90,095933638-9,rboothby2h,Colorado,$316016.93,81133,Chevrolet,Indigo,2005,Fresno,California,United States,Female,Dollar,jcb,1N4AL3AP5DC027228"
"91,306829677-3,rhacun2i,Lancer,$404982.43,132214,Mitsubishi,Indigo,2005,Erie,Pennsylvania,United States,Female,Dollar,diners-club-enroute,WAUMV44EX7N590590"
"92,131720474-3,cblackney2j,S-Series,$781327.50,134479,Saturn,Fuscia,1994,Ochla,,Poland,Female,Zloty,jcb,WAUCFAFR2EA401314"
"93,779953186-X,zmauchline2k,Sorento,$937266.45,143679,Kia,Violet,2012,Itapecerica da Serra,,Brazil,Female,Real,diners-club-international,3FADP4AJ0FM894315"
"94,610577437-0,nelmer2l,SJ,$231376.64,7434,Suzuki,Mauv,1988,Rudnik,,Poland,Male,Zloty,maestro,WBA3T3C59F5835861"
"95,000892519-4,dsantostefano2m,Malibu,$854023.97,62926,Chevrolet,Crimson,2001,Los Angeles,Sinaloa,Mexico,Male,Peso,americanexpress,JN1CV6EK0FM125144"
"96,961893074-2,smarvelley2n,Grand Marquis,$120014.81,7508,Mercury,Violet,1996,Dobrica,,Serbia,Female,Dinar,instapayment,1FTSW3B5XAE531726"
"97,441596584-9,cpitkins2o,rio,$883050.03,149341,Volkswagen,Fuscia,1996,Boulogne-Billancourt,Île-de-France,France,Male,Euro,jcb,2G4GP5EX1F9935986"
"98,607060295-1,sblei2p,Biturbo,$207884.97,122598,Maserati,Maroon,1986,Älvdalen,Dalarna,Sweden,Male,Krona,diners-club-carte-blanche,3GYFNEE3XES165110"
"99,971426073-6,dodriscoll2q,RL,$963125.35,96436,Acura,Yellow,2012,Salaš Crnobarski,,Serbia,Female,Dinar,bankcard,19XFB2F53FE466850"
"100,008362539-9,sboules2r,Cherokee,$302502.48,127831,Jeep,Puce,1997,Portão,,Brazil,Female,Real,laser,3GTXCYEJ2AG591547"
